time, Vcn, Von, VoVcn,
2.579356, 1.677393, 1.673364, -0.004028,
2.589467, 1.676587, 1.673364, -0.003223,
2.599594, 1.677393, 1.664502, -0.012891,
2.609687, 1.677393, 1.670142, -0.007251,
2.619797, 1.674170, 1.676587, 0.002417,
2.629677, 1.669336, 1.677393, 0.008057,
2.639675, 1.673364, 1.670142, -0.003223,
2.649872, 1.677393, 1.674170, -0.003223,
2.659900, 1.677393, 1.657251, -0.020142,
2.670147, 1.668530, 1.669336, 0.000806,
2.680127, 1.677393, 1.664502, -0.012891,
2.690247, 1.678198, 1.686255, 0.008057,
2.700243, 1.677393, 1.670142, -0.007251,
2.710361, 1.670142, 1.674976, 0.004834,
2.720249, 1.676587, 1.666919, -0.009668,
2.730588, 1.670947, 1.660474, -0.010474,
2.740682, 1.670142, 1.683032, 0.012891,
2.750679, 1.677393, 1.654834, -0.022559,
2.760798, 1.665308, 1.674976, 0.009668,
2.770717, 1.673364, 1.691089, 0.017725,
2.780674, 1.676587, 1.669336, -0.007251,
2.790799, 1.673364, 1.679004, 0.005640,
2.800796, 1.674976, 1.665308, -0.009668,
2.810903, 1.676587, 1.656445, -0.020142,
2.820894, 1.678198, 1.670142, -0.008057,
2.831099, 1.669336, 1.658862, -0.010474,
2.841129, 1.674976, 1.668530, -0.006445,
2.851358, 1.668530, 1.666919, -0.001611,
2.861521, 1.673364, 1.664502, -0.008862,
2.871684, 1.677393, 1.673364, -0.004028,
2.881895, 1.673364, 1.650806, -0.022559,
2.892017, 1.662085, 1.650806, -0.011279,
2.902250, 1.662085, 1.662891, 0.000806,
2.912133, 1.665308, 1.673364, 0.008057,
2.922018, 1.657251, 1.670142, 0.012891,
2.932029, 1.664502, 1.658862, -0.005640,
2.942130, 1.669336, 1.658862, -0.010474,
2.952320, 1.658862, 1.669336, 0.010474,
2.962202, 1.662891, 1.679810, 0.016919,
2.972123, 1.669336, 1.662891, -0.006445,
2.982351, 1.661279, 1.658862, -0.002417,
2.992460, 1.664502, 1.656445, -0.008057,
3.002688, 1.657251, 1.662085, 0.004834,
3.012581, 1.662085, 1.676587, 0.014502,
3.022385, 1.664502, 1.668530, 0.004028,
3.032469, 1.661279, 1.666919, 0.005640,
3.042355, 1.662085, 1.648389, -0.013696,
3.052587, 1.661279, 1.674170, 0.012891,
3.062542, 1.662891, 1.661279, -0.001611,
3.072648, 1.670142, 1.676587, 0.006445,
3.082581, 1.662085, 1.657251, -0.004834,
3.092692, 1.670142, 1.649194, -0.020947,
3.102902, 1.661279, 1.670947, 0.009668,
3.112796, 1.664502, 1.662085, -0.002417,
3.122905, 1.666113, 1.661279, -0.004834,
3.133258, 1.656445, 1.658057, 0.001611,
3.143131, 1.670142, 1.657251, -0.012891,
3.153245, 1.662085, 1.670947, 0.008862,
3.163225, 1.669336, 1.662085, -0.007251,
3.173356, 1.665308, 1.669336, 0.004028,
3.183296, 1.670142, 1.669336, -0.000806,
3.193374, 1.666113, 1.662085, -0.004028,
3.203578, 1.658862, 1.669336, 0.010474,
3.213442, 1.674170, 1.683032, 0.008862,
3.223251, 1.673364, 1.668530, -0.004834,
3.233465, 1.677393, 1.681421, 0.004028,
3.243357, 1.677393, 1.681421, 0.004028,
3.253346, 1.670142, 1.673364, 0.003223,
3.263442, 1.677393, 1.672559, -0.004834,
3.273573, 1.674976, 1.668530, -0.006445,
3.283692, 1.674976, 1.676587, 0.001611,
3.293591, 1.677393, 1.661279, -0.016113,
3.303797, 1.673364, 1.673364, 0.000000,
3.313577, 1.674976, 1.670947, -0.004028,
3.323579, 1.674976, 1.668530, -0.006445,
3.333799, 1.670947, 1.661279, -0.009668,
