time, Vcn, Von, VoVcn,
4.602018, 1.670142, 1.683838, 0.013696,
4.611905, 1.668530, 1.679004, 0.010474,
4.621806, 1.670142, 1.668530, -0.001611,
4.632089, 1.666919, 1.661279, -0.005640,
4.642247, 1.666919, 1.660474, -0.006445,
4.652365, 1.670142, 1.666919, -0.003223,
4.662564, 1.666919, 1.662891, -0.004028,
4.672712, 1.665308, 1.666113, 0.000806,
4.682678, 1.669336, 1.664502, -0.004834,
4.692799, 1.664502, 1.660474, -0.004028,
4.702902, 1.669336, 1.662085, -0.007251,
4.713009, 1.670142, 1.665308, -0.004834,
4.723129, 1.670142, 1.660474, -0.009668,
4.733350, 1.668530, 1.662891, -0.005640,
4.743564, 1.670142, 1.666113, -0.004028,
4.753681, 1.664502, 1.677393, 0.012891,
4.763683, 1.670142, 1.664502, -0.005640,
4.773805, 1.670142, 1.662891, -0.007251,
4.784050, 1.669336, 1.650000, -0.019336,
4.794135, 1.669336, 1.666919, -0.002417,
4.804131, 1.668530, 1.648389, -0.020142,
4.814229, 1.669336, 1.669336, 0.000000,
4.824018, 1.666919, 1.677393, 0.010474,
4.834016, 1.666919, 1.661279, -0.005640,
4.844239, 1.666113, 1.672559, 0.006445,
4.854129, 1.662085, 1.666113, 0.004028,
4.864026, 1.668530, 1.681421, 0.012891,
4.873906, 1.668530, 1.661279, -0.007251,
4.884131, 1.669336, 1.654834, -0.014502,
4.894238, 1.666919, 1.674976, 0.008057,
4.904135, 1.666113, 1.650000, -0.016113,
4.914276, 1.665308, 1.662085, -0.003223,
4.924343, 1.662891, 1.658057, -0.004834,
4.934566, 1.670142, 1.649194, -0.020947,
4.944687, 1.672559, 1.672559, 0.000000,
4.954451, 1.666113, 1.656445, -0.009668,
4.964574, 1.670142, 1.674170, 0.004028,
4.974454, 1.666113, 1.657251, -0.008862,
4.984682, 1.664502, 1.657251, -0.007251,
4.994799, 1.661279, 1.669336, 0.008057,
5.004691, 1.670947, 1.673364, 0.002417,
5.014566, 1.668530, 1.639526, -0.029004,
5.024676, 1.673364, 1.658057, -0.015308,
5.034915, 1.668530, 1.664502, -0.004028,
5.045152, 1.665308, 1.665308, 0.000000,
5.054990, 1.661279, 1.665308, 0.004028,
5.064911, 1.665308, 1.662085, -0.003223,
5.075021, 1.669336, 1.666919, -0.002417,
5.085144, 1.666113, 1.664502, -0.001611,
5.095236, 1.668530, 1.666113, -0.002417,
5.105344, 1.668530, 1.658862, -0.009668,
5.115449, 1.669336, 1.665308, -0.004028,
5.125477, 1.668530, 1.673364, 0.004834,
5.135450, 1.670142, 1.661279, -0.008862,
5.145569, 1.669336, 1.670142, 0.000806,
5.155452, 1.670142, 1.665308, -0.004834,
5.165573, 1.666919, 1.650000, -0.016919,
5.175717, 1.669336, 1.664502, -0.004834,
5.185897, 1.668530, 1.676587, 0.008057,
5.195687, 1.665308, 1.665308, 0.000000,
5.205448, 1.670142, 1.654834, -0.015308,
5.215570, 1.670142, 1.654834, -0.015308,
5.225764, 1.666919, 1.687866, 0.020947,
5.235799, 1.666113, 1.658862, -0.007251,
5.246026, 1.666919, 1.672559, 0.005640,
5.256015, 1.668530, 1.662085, -0.006445,
5.266016, 1.666113, 1.674976, 0.008862,
5.275910, 1.662085, 1.666919, 0.004834,
5.285907, 1.665308, 1.665308, 0.000000,
5.295686, 1.670142, 1.641943, -0.028198,
5.305877, 1.669336, 1.679810, 0.010474,
5.315673, 1.665308, 1.649194, -0.016113,
5.325788, 1.666113, 1.664502, -0.001611,
5.336012, 1.664502, 1.673364, 0.008862,
5.346000, 1.666919, 1.645166, -0.021753,
5.356133, 1.670142, 1.664502, -0.005640,
5.366212, 1.664502, 1.632275, -0.032227,
5.376357, 1.664502, 1.681421, 0.016919,
5.386354, 1.666113, 1.665308, -0.000806,
5.396454, 1.670142, 1.672559, 0.002417,
5.406417, 1.670142, 1.670947, 0.000806,
5.416249, 1.669336, 1.666113, -0.003223,
5.426342, 1.668530, 1.672559, 0.004028,
5.436350, 1.666919, 1.662085, -0.004834,
5.446463, 1.670142, 1.662085, -0.008057,
5.456663, 1.668530, 1.664502, -0.004028,
5.466690, 1.670142, 1.657251, -0.012891,
5.476806, 1.664502, 1.664502, 0.000000,
5.486792, 1.668530, 1.647583, -0.020947,
5.496906, 1.666919, 1.666113, -0.000806,
5.507125, 1.666113, 1.666113, 0.000000,
5.516904, 1.664502, 1.645972, -0.018530,
5.528601, 1.665308, 1.645972, -0.019336,
5.549832, 1.670142, 1.665308, -0.004834,
5.571600, 1.670142, 1.669336, -0.000806,
5.592831, 1.672559, 1.678198, 0.005640,
5.614829, 1.672559, 1.666919, -0.005640,
5.636919, 1.664502, 1.662085, -0.002417,
5.658832, 1.670142, 1.645972, -0.024170,
5.680677, 1.670947, 1.670142, -0.000806,
5.701827, 1.670947, 1.677393, 0.006445,
5.723829, 1.670142, 1.668530, -0.001611,
5.746603, 1.668530, 1.666919, -0.001611,
5.767638, 1.670142, 1.650000, -0.020142,
5.789830, 1.670142, 1.666919, -0.003223,
5.812603, 1.668530, 1.668530, 0.000000,
5.833600, 1.666113, 1.662891, -0.003223,
5.854605, 1.666919, 1.666919, 0.000000,
5.874831, 1.666919, 1.677393, 0.010474,
5.896839, 1.670947, 1.658057, -0.012891,
5.919602, 1.673364, 1.666919, -0.006445,
5.940833, 1.669336, 1.662891, -0.006445,
5.963600, 1.673364, 1.657251, -0.016113,
5.984603, 1.670947, 1.654028, -0.016919,
6.005915, 1.670142, 1.676587, 0.006445,
6.027842, 1.673364, 1.674170, 0.000806,
6.049831, 1.669336, 1.670142, 0.000806,
6.071603, 1.670142, 1.666113, -0.004028,
6.092830, 1.670142, 1.657251, -0.012891,
6.115603, 1.672559, 1.661279, -0.011279,
6.136917, 1.668530, 1.662891, -0.005640,
6.158842, 1.670142, 1.664502, -0.005640,
