time, Vca,
44.878945, 1.649194,
44.884404, 1.650806,
44.889906, 1.649194,
44.895334, 1.652417,
44.900766, 1.654028,
44.906188, 1.652417,
44.911635, 1.640332,
44.917146, 1.645166,
44.922693, 1.643555,
44.928148, 1.644360,
44.933594, 1.645166,
44.939108, 1.643555,
44.944596, 1.641943,
44.950052, 1.643555,
44.955477, 1.647583,
44.960923, 1.645166,
44.966478, 1.645166,
44.971986, 1.647583,
44.977473, 1.645972,
44.982905, 1.645166,
44.988330, 1.644360,
44.993901, 1.645166,
44.999326, 1.649194,
45.004773, 1.645166,
45.010251, 1.645166,
45.015795, 1.644360,
45.021328, 1.643555,
45.026763, 1.647583,
45.032200, 1.647583,
45.037666, 1.645166,
45.043255, 1.645972,
45.048742, 1.647583,
45.053940, 1.645972,
45.059384, 1.645166,
45.064912, 1.645972,
45.070334, 1.643555,
45.075914, 1.645972,
45.081329, 1.647583,
45.086779, 1.647583,
45.092365, 1.647583,
45.097800, 1.644360,
45.103221, 1.650806,
45.108668, 1.644360,
45.114199, 1.644360,
45.119759, 1.645166,
45.125250, 1.649194,
45.130699, 1.647583,
45.136146, 1.647583,
45.141722, 1.645166,
45.147155, 1.647583,
45.152695, 1.647583,
45.158129, 1.647583,
45.163647, 1.649194,
45.169068, 1.645972,
45.174594, 1.647583,
45.180021, 1.644360,
45.185480, 1.648389,
45.191020, 1.648389,
45.196483, 1.644360,
45.201938, 1.644360,
45.207399, 1.650806,
45.212803, 1.647583,
45.218274, 1.643555,
45.223796, 1.645166,
45.229227, 1.657251,
45.234610, 1.656445,
45.240122, 1.657251,
45.245552, 1.657251,
45.251016, 1.657251,
45.256496, 1.658057,
45.261938, 1.654834,
45.267473, 1.654834,
45.273029, 1.654834,
45.278512, 1.648389,
45.283938, 1.658057,
45.289506, 1.657251,
45.294941, 1.652417,
45.300376, 1.657251,
45.305792, 1.653223,
45.311251, 1.654834,
45.316741, 1.656445,
45.322282, 1.657251,
45.327725, 1.650000,
45.333151, 1.657251,
45.338663, 1.650000,
45.344126, 1.647583,
45.349606, 1.654834,
45.355019, 1.654834,
45.360480, 1.654834,
45.365997, 1.652417,
45.371519, 1.650806,
45.376985, 1.654028,
45.382418, 1.654834,
45.387861, 1.654028,
45.393320, 1.652417,
45.398776, 1.647583,
45.404206, 1.653223,
45.409697, 1.654834,
45.415199, 1.650000,
45.420739, 1.654028,
45.426144, 1.652417,
45.431569, 1.654028,
45.436991, 1.654028,
45.442522, 1.653223,
45.447565, 1.650000,
45.453042, 1.654028,
45.458515, 1.652417,
45.464002, 1.652417,
45.469367, 1.654834,
45.474938, 1.650806,
45.480416, 1.650000,
45.485792, 1.650000,
45.491277, 1.653223,
45.496718, 1.654028,
45.502163, 1.649194,
45.507126, 1.654834,
45.512801, 1.652417,
45.518284, 1.654028,
45.523759, 1.654028,
45.529146, 1.652417,
45.534514, 1.653223,
45.540001, 1.653223,
45.545481, 1.654028,
45.550950, 1.640332,
45.556375, 1.641138,
45.561800, 1.640332,
45.567039, 1.641138,
45.572584, 1.643555,
45.578016, 1.641943,
45.583443, 1.640332,
45.588896, 1.640332,
45.594333, 1.640332,
45.599777, 1.643555,
45.605208, 1.643555,
45.610695, 1.645972,
45.616255, 1.640332,
45.621841, 1.645972,
45.627250, 1.645166,
45.632667, 1.644360,
45.638052, 1.643555,
45.643568, 1.641138,
45.649061, 1.640332,
45.654488, 1.647583,
45.659870, 1.645972,
45.665363, 1.643555,
45.670908, 1.645166,
45.676370, 1.641943,
45.681799, 1.645972,
45.687253, 1.641138,
45.692772, 1.643555,
45.698209, 1.645166,
45.703688, 1.647583,
45.709144, 1.645972,
45.714695, 1.643555,
45.720256, 1.645166,
45.725721, 1.647583,
45.731107, 1.650806,
45.736510, 1.647583,
45.742034, 1.647583,
45.747488, 1.647583,
45.752988, 1.645972,
45.758419, 1.647583,
45.763894, 1.645166,
45.769330, 1.647583,
45.774874, 1.645166,
45.780372, 1.645166,
45.785730, 1.644360,
45.791255, 1.647583,
45.796633, 1.647583,
45.802007, 1.648389,
45.807389, 1.647583,
45.812763, 1.645972,
45.818209, 1.647583,
45.823753, 1.645166,
45.829176, 1.647583,
45.834638, 1.650806,
45.840161, 1.645972,
45.845609, 1.645166,
45.851053, 1.647583,
45.856488, 1.645972,
45.861919, 1.647583,
45.867484, 1.656445,
45.873032, 1.658057,
45.878505, 1.656445,
45.883905, 1.654834,
45.889401, 1.656445,
45.894811, 1.658057,
45.900249, 1.652417,
45.905700, 1.657251,
45.911146, 1.656445,
45.916676, 1.656445,
45.921964, 1.654834,
45.927357, 1.650000,
45.932747, 1.650806,
45.938141, 1.650806,
45.943596, 1.653223,
45.949056, 1.654834,
45.954508, 1.656445,
45.959940, 1.650000,
45.965477, 1.654834,
45.971019, 1.654834,
45.976509, 1.652417,
45.981940, 1.654834,
45.987376, 1.650806,
45.992910, 1.650000,
45.998324, 1.650806,
46.003736, 1.653223,
46.009142, 1.649194,
46.014679, 1.654028,
46.020250, 1.650806,
46.025696, 1.653223,
46.031091, 1.654834,
46.036499, 1.650806,
46.042050, 1.654834,
46.047480, 1.650000,
46.052987, 1.650806,
46.058430, 1.650000,
46.063918, 1.652417,
46.069342, 1.650000,
46.074932, 1.650000,
46.080379, 1.650806,
46.085792, 1.654028,
46.091283, 1.649194,
46.096740, 1.654028,
46.102156, 1.653223,
46.106579, 1.654834,
46.112016, 1.653223,
46.117561, 1.654834,
46.123105, 1.654028,
46.128542, 1.650000,
46.133988, 1.654028,
46.139521, 1.648389,
46.144981, 1.649194,
46.149858, 1.657251,
46.155296, 1.652417,
46.160728, 1.649194,
46.166257, 1.647583,
46.171801, 1.652417,
46.177257, 1.649194,
46.182697, 1.652417,
46.188133, 1.647583,
46.193582, 1.654028,
46.199019, 1.650000,
46.204487, 1.640332,
46.209917, 1.645166,
46.215415, 1.643555,
46.220915, 1.641943,
46.226335, 1.641943,
