=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.12.14 18:16:06 =~=~=~=~=~=~=~=~=~=~=~=
************************************************************...temp init complete
Cx9000,cmd: Cx9000
 Number of samples           0 ->          0,      uintl (  Cx)
 Number of samples           0 ->       9000,      uintl (  Cx)
unit_x, time, Von,
x_unit, 2.648682, 1.527539,
x_unit, 2.655633, 1.532373,
x_unit, 2.662692, 1.521899,
x_unit, 2.669757, 1.527539,
x_unit, 2.677683, 1.529150,
x_unit, 2.684683, 1.529150,
x_unit, 2.691729, 1.525122,
x_unit, 2.698780, 1.529956,
x_unit, 2.705749, 1.529150,
x_unit, 2.712775, 1.529150,
x_unit, 2.719695, 1.525122,
x_unit, 2.726637, 1.531567,
x_unit, 2.733635, 1.532373,
x_unit, 2.740683, 1.527539,
x_unit, 2.747634, 1.527539,
x_unit, 2.754627, 1.529150,
x_unit, 2.761677, 1.527539,
x_unit, 2.768702, 1.527539,
x_unit, 2.775690, 1.524316,
x_unit, 2.783503, 1.529956,
x_unit, 2.790704, 1.525122,
x_unit, 2.797869, 1.525928,
x_unit, 2.804950, 1.529956,
x_unit, 2.812120, 1.527539,
x_unit, 2.819189, 1.527539,
x_unit, 2.826275, 1.528345,
x_unit, 2.833342, 1.524316,
x_unit, 2.840536, 1.527539,
x_unit, 2.847636, 1.527539,
x_unit, 2.854750, 1.527539,
x_unit, 2.861901, 1.533984,
x_unit, 2.863832, 1.528345,
x_unit, 2.871103, 1.525122,
x_unit, 2.878863, 1.536401,
x_unit, 2.885976, 1.536401,
x_unit, 2.893166, 1.532373,
x_unit, 2.900394, 1.535596,
x_unit, 2.907531, 1.533984,
x_unit, 2.914700, 1.533179,
x_unit, 2.921820, 1.533984,
x_unit, 2.928868, 1.532373,
x_unit, 2.935931, 1.529150,
x_unit, 2.943027, 1.535596,
x_unit, 2.950070, 1.533984,
x_unit, 2.957118, 1.533179,
x_unit, 2.964258, 1.533984,
x_unit, 2.971464, 1.533179,
x_unit, 3.019509, 1.524316,
x_unit, 3.026554, 1.535596,
x_unit, 3.033508, 1.533179,
x_unit, 3.040554, 1.533984,
x_unit, 3.047505, 1.532373,
x_unit, 3.054463, 1.535596,
x_unit, 3.061482, 1.535596,
x_unit, 3.068533, 1.529956,
x_unit, 3.075505, 1.533179,
x_unit, 3.082438, 1.538013,
x_unit, 3.089467, 1.535596,
x_unit, 3.096450, 1.529150,
x_unit, 3.103426, 1.532373,
x_unit, 3.110364, 1.529956,
x_unit, 3.117383, 1.532373,
x_unit, 3.125377, 1.533179,
x_unit, 3.132378, 1.533179,
x_unit, 3.139432, 1.529150,
x_unit, 3.146369, 1.532373,
x_unit, 3.153327, 1.532373,
x_unit, 3.160280, 1.536401,
x_unit, 3.167326, 1.537207,
x_unit, 3.174544, 1.533179,
x_unit, 3.181516, 1.529150,
x_unit, 3.188548, 1.523511,
x_unit, 3.195485, 1.527539,
x_unit, 3.202460, 1.529150,
x_unit, 3.209378, 1.528345,
x_unit, 3.216469, 1.529150,
x_unit, 3.224468, 1.528345,
x_unit, 3.231522, 1.528345,
x_unit, 3.238554, 1.529150,
x_unit, 3.245511, 1.528345,
x_unit, 3.252458, 1.525928,
x_unit, 3.259388, 1.529150,
x_unit, 3.266468, 1.528345,
x_unit, 3.273515, 1.529150,
x_unit, 3.280469, 1.527539,
x_unit, 3.287569, 1.529150,
x_unit, 3.295154, 1.528345,
