x_unit, 2.669781, 1.531567,
x_unit, 2.676663, 1.533984,
x_unit, 2.683550, 1.533984,
x_unit, 2.690360, 1.533984,
x_unit, 2.697318, 1.532373,
x_unit, 2.704096, 1.529150,
x_unit, 2.711103, 1.525928,
x_unit, 2.717868, 1.524316,
x_unit, 2.724767, 1.521899,
x_unit, 2.731558, 1.527539,
x_unit, 2.738333, 1.525928,
x_unit, 2.745101, 1.529150,
x_unit, 2.752046, 1.525928,
x_unit, 2.758881, 1.529150,
x_unit, 2.765658, 1.525122,
x_unit, 2.772548, 1.533179,
x_unit, 2.779514, 1.525122,
x_unit, 2.786329, 1.527539,
x_unit, 2.793096, 1.529150,
x_unit, 2.799984, 1.525928,
x_unit, 2.806779, 1.525122,
x_unit, 2.813776, 1.524316,
x_unit, 2.820672, 1.529150,
x_unit, 2.827555, 1.528345,
x_unit, 2.834326, 1.527539,
x_unit, 2.841096, 1.529150,
x_unit, 2.847982, 1.528345,
x_unit, 2.854761, 1.527539,
x_unit, 2.861565, 1.525928,
x_unit, 2.868343, 1.525928,
x_unit, 2.875218, 1.529150,
x_unit, 2.882151, 1.527539,
x_unit, 2.888982, 1.528345,
x_unit, 2.895772, 1.528345,
x_unit, 2.902659, 1.528345,
x_unit, 2.909642, 1.524316,
x_unit, 2.916441, 1.525928,
x_unit, 2.923322, 1.528345,
x_unit, 2.930113, 1.527539,
x_unit, 2.936874, 1.527539,
x_unit, 2.943679, 1.528345,
x_unit, 2.950581, 1.525122,
x_unit, 2.957351, 1.527539,
x_unit, 2.964088, 1.528345,
x_unit, 2.970871, 1.528345,
x_unit, 2.977665, 1.525122,
x_unit, 2.984544, 1.529150,
x_unit, 2.991345, 1.525122,
x_unit, 2.998214, 1.529956,
x_unit, 3.004784, 1.525122,
x_unit, 3.011781, 1.529150,
x_unit, 3.018657, 1.528345,
x_unit, 3.025555, 1.535596,
x_unit, 3.032329, 1.535596,
x_unit, 3.039104, 1.533984,
x_unit, 3.045880, 1.532373,
x_unit, 3.052680, 1.531567,
x_unit, 3.059451, 1.533179,
x_unit, 3.066243, 1.533179,
x_unit, 3.073094, 1.533179,
x_unit, 3.080005, 1.535596,
x_unit, 3.086779, 1.533984,
x_unit, 3.093549, 1.533984,
x_unit, 3.100437, 1.533984,
x_unit, 3.107266, 1.529150,
x_unit, 3.114222, 1.531567,
x_unit, 3.121018, 1.529956,
x_unit, 3.127880, 1.535596,
x_unit, 3.134677, 1.531567,
x_unit, 3.141440, 1.537207,
x_unit, 3.148411, 1.529150,
x_unit, 3.155217, 1.533179,
x_unit, 3.161984, 1.537207,
x_unit, 3.168772, 1.532373,
x_unit, 3.175668, 1.535596,
x_unit, 3.182561, 1.532373,
x_unit, 3.189342, 1.533179,
x_unit, 3.196097, 1.529150,
x_unit, 3.202990, 1.537207,
x_unit, 3.210058, 1.533179,
x_unit, 3.216887, 1.531567,
x_unit, 3.223774, 1.529956,
x_unit, 3.230557, 1.533179,
x_unit, 3.237335, 1.532373,
x_unit, 3.244106, 1.535596,
x_unit, 3.250987, 1.533179,
x_unit, 3.257786, 1.537207,
x_unit, 3.264557, 1.538013,
x_unit, 3.271409, 1.524316,
x_unit, 3.278361, 1.536401,
x_unit, 3.285209, 1.533179,
x_unit, 3.291991, 1.532373,
x_unit, 3.298877, 1.536401,
x_unit, 3.305678, 1.529150,
x_unit, 3.312668, 1.535596,
x_unit, 3.319547, 1.535596,
x_unit, 3.326441, 1.533179,
x_unit, 3.333220, 1.533984,
x_unit, 3.340018, 1.533179,
x_unit, 3.346878, 1.527539,
x_unit, 3.353659, 1.525928,
x_unit, 3.360442, 1.529150,
x_unit, 3.367232, 1.529150,
x_unit, 3.374099, 1.527539,
x_unit, 3.380989, 1.529956,
x_unit, 3.387775, 1.527539,
x_unit, 3.394544, 1.527539,
x_unit, 3.401439, 1.525122,
x_unit, 3.408322, 1.529150,
x_unit, 3.415327, 1.527539,
x_unit, 3.422199, 1.527539,
x_unit, 3.428991, 1.529150,
x_unit, 3.435763, 1.525928,
x_unit, 3.442563, 1.529150,
x_unit, 3.449443, 1.528345,
x_unit, 3.456225, 1.527539,
x_unit, 3.462999, 1.525928,
x_unit, 3.469771, 1.528345,
x_unit, 3.476659, 1.532373,
x_unit, 3.483564, 1.529956,
x_unit, 3.490343, 1.528345,
x_unit, 3.497196, 1.524316,
x_unit, 3.503987, 1.527539,
x_unit, 3.510982, 1.525928,
x_unit, 3.517785, 1.524316,
x_unit, 3.524662, 1.525928,
x_unit, 3.531432, 1.524316,
x_unit, 3.538260, 1.527539,
x_unit, 3.545062, 1.529956,
x_unit, 3.551972, 1.527539,
x_unit, 3.558779, 1.527539,
x_unit, 3.565562, 1.528345,
x_unit, 3.572424, 1.524316,
x_unit, 3.579327, 1.529150,
x_unit, 3.586100, 1.527539,
x_unit, 3.592876, 1.525122,
x_unit, 3.599765, 1.527539,
x_unit, 3.606630, 1.529150,
x_unit, 3.613635, 1.527539,
x_unit, 3.620447, 1.525928,
x_unit, 3.627342, 1.525928,
x_unit, 3.634121, 1.528345,
x_unit, 3.640885, 1.525122,
x_unit, 3.647797, 1.528345,
x_unit, 3.654564, 1.529956,
x_unit, 3.661342, 1.527539,
x_unit, 3.668137, 1.536401,
x_unit, 3.674998, 1.527539,
x_unit, 3.681884, 1.535596,
x_unit, 3.688666, 1.537207,
x_unit, 3.695465, 1.533179,
x_unit, 3.702337, 1.533984,
x_unit, 3.709184, 1.533179,
x_unit, 3.716099, 1.537207,
x_unit, 3.722978, 1.531567,
x_unit, 3.729773, 1.532373,
x_unit, 3.736586, 1.533179,
x_unit, 3.743415, 1.537207,
x_unit, 3.750324, 1.533179,
x_unit, 3.757117, 1.537207,
x_unit, 3.763896, 1.538013,
x_unit, 3.770677, 1.535596,
x_unit, 3.777552, 1.533179,
x_unit, 3.784550, 1.533179,
x_unit, 3.791341, 1.533984,
x_unit, 3.798215, 1.532373,
x_unit, 3.805002, 1.531567,
x_unit, 3.811984, 1.537207,
x_unit, 3.818788, 1.533179,
x_unit, 3.825664, 1.533179,
x_unit, 3.832443, 1.531567,
x_unit, 3.839229, 1.532373,
x_unit, 3.845996, 1.532373,
x_unit, 3.852771, 1.532373,
x_unit, 3.859550, 1.533179,
x_unit, 3.866385, 1.529956,
x_unit, 3.873318, 1.536401,
x_unit, 3.880229, 1.528345,
x_unit, 3.887003, 1.533984,
x_unit, 3.893772, 1.532373,
x_unit, 3.900668, 1.533179,
x_unit, 3.907479, 1.533179,
x_unit, 3.917655, 1.531567,
x_unit, 3.929379, 1.535596,
x_unit, 3.939150, 1.531567,
x_unit, 3.949149, 1.529956,
x_unit, 3.958656, 1.537207,
x_unit, 3.970150, 1.537207,
x_unit, 3.980380, 1.529150,
x_unit, 3.990149, 1.535596,
x_unit, 4.000147, 1.529150,
x_unit, 4.010150, 1.529150,
x_unit, 4.019656, 1.525122,
x_unit, 4.031149, 1.525928,
x_unit, 4.040657, 1.527539,
x_unit, 4.052380, 1.528345,
x_unit, 4.062147, 1.525122,
x_unit, 4.072149, 1.525928,
x_unit, 4.082150, 1.527539,
x_unit, 4.091657, 1.528345,
x_unit, 4.103391, 1.527539,
x_unit, 4.113378, 1.528345,
x_unit, 4.123378, 1.527539,
x_unit, 4.133148, 1.529150,
x_unit, 4.142659, 1.528345,
x_unit, 4.154378, 1.525928,
x_unit, 4.164150, 1.527539,
x_unit, 4.174149, 1.528345,
x_unit, 4.184150, 1.524316,
x_unit, 4.193657, 1.525122,
x_unit, 4.205380, 1.529956,
x_unit, 4.215380, 1.531567,
x_unit, 4.225378, 1.527539,
x_unit, 4.235150, 1.525122,
x_unit, 4.244658, 1.529150,
x_unit, 4.256150, 1.528345,
x_unit, 4.265656, 1.529956,
x_unit, 4.277378, 1.528345,
x_unit, 4.287379, 1.529150,
x_unit, 4.297378, 1.524316,
x_unit, 4.307185, 1.533179,
x_unit, 4.317659, 1.533179,
x_unit, 4.329375, 1.533179,
x_unit, 4.339149, 1.532373,
x_unit, 4.349149, 1.531567,
x_unit, 4.358659, 1.533984,
x_unit, 4.370150, 1.538013,
x_unit, 4.380382, 1.533179,
x_unit, 4.390147, 1.538013,
x_unit, 4.400149, 1.536401,
x_unit, 4.410150, 1.538013,
x_unit, 4.419655, 1.533179,
x_unit, 4.431149, 1.533984,
x_unit, 4.440658, 1.532373,
x_unit, 4.452377, 1.532373,
x_unit, 4.462148, 1.538013,
x_unit, 4.472149, 1.535596,
x_unit, 4.482150, 1.537207,
x_unit, 4.491659, 1.532373,
x_unit, 4.503378, 1.529956,
x_unit, 4.513379, 1.531567,
x_unit, 4.523379, 1.535596,
x_unit, 4.533149, 1.533984,
x_unit, 4.542661, 1.532373,
x_unit, 4.554378, 1.529956,
x_unit, 4.564150, 1.525122,
x_unit, 4.574149, 1.533179,
x_unit, 4.584150, 1.533984,
x_unit, 4.594658, 1.531567,
x_unit, 4.606150, 1.535596,
x_unit, 4.616150, 1.533179,
x_unit, 4.626149, 1.528345,
x_unit, 4.635660, 1.527539,
x_unit, 4.647380, 1.529150,
x_unit, 4.657147, 1.529150,
x_unit, 4.666665, 1.525122,
x_unit, 4.678464, 1.527539,
x_unit, 4.689149, 1.527539,
x_unit, 4.699151, 1.525122,
x_unit, 4.709152, 1.525928,
x_unit, 4.718661, 1.527539,
x_unit, 4.730382, 1.529150,
x_unit, 4.740152, 1.528345,
x_unit, 4.750151, 1.527539,
x_unit, 4.759659, 1.528345,
x_unit, 4.771222, 1.527539,
x_unit, 4.782150, 1.525928,
x_unit, 4.791662, 1.524316,
x_unit, 4.803381, 1.521899,
x_unit, 4.813383, 1.525928,
x_unit, 4.821319, 1.525122,
x_unit, 4.828110, 1.527539,
x_unit, 4.834883, 1.527539,
x_unit, 4.841667, 1.532373,
x_unit, 4.848559, 1.528345,
x_unit, 4.855342, 1.529150,
x_unit, 4.862158, 1.525928,
x_unit, 4.868958, 1.528345,
x_unit, 4.875889, 1.523511,
x_unit, 4.882784, 1.524316,
x_unit, 4.889559, 1.527539,
x_unit, 4.896420, 1.527539,
x_unit, 4.903290, 1.525928,
x_unit, 4.910107, 1.529150,
x_unit, 4.916975, 1.525122,
x_unit, 4.923893, 1.527539,
x_unit, 4.930675, 1.529150,
x_unit, 4.937485, 1.525928,
x_unit, 4.944301, 1.529956,
x_unit, 4.951181, 1.529956,
